id,item,price,date,time,quantity
1,Fresh Strawberries,3.99,9/6/2024,9:16 PM,27
2,Spaghetti Squash,3.99,11/11/2024,7:25 AM,26
3,Blue Denim Jeans,49.99,1/2/2024,4:03 PM,22
4,Raspberry Limeade,1.99,9/9/2024,6:38 AM,13
5,Wrist Support Brace,19.99,11/16/2024,3:42 PM,7
6,Folding Table,59.99,11/27/2024,8:36 PM,29
7,Pumpkin Spice Pancake Mix,3.49,7/21/2024,4:10 AM,30
8,Cheddar Cheese Crackers,2.29,1/25/2025,9:36 PM,14
9,Sliced Strawberries,4.99,6/30/2024,2:55 PM,10
10,Wine Glasses,29.99,1/21/2025,10:11 PM,12
11,Bamboo Charcoal Air Purifier Bags,12.99,1/25/2024,5:20 AM,25
12,Portable Camping Stove,49.99,6/10/2024,4:03 PM,12
13,Frozen Acai Bowl,6.49,10/29/2024,5:15 AM,21
14,Sweet Potato Tots,4.29,7/30/2024,10:42 AM,5
15,Hummus Trio Pack,5.49,9/27/2024,2:28 PM,12
16,Children's Educational Workbook,12.99,12/10/2024,3:35 AM,16
17,Car Phone Mount,15.99,7/16/2024,3:15 PM,22
18,Mushrooms,2.99,9/2/2024,8:41 AM,8
19,Portable Hammock with Stand,69.99,1/24/2024,7:41 PM,20
20,Garden Kneeler and Seat,39.99,3/21/2024,6:31 PM,2
21,Laptop Sleeve,24.99,1/21/2024,6:54 PM,18
22,Interactive Robot Toy,34.99,1/10/2024,3:26 PM,4
23,Wireless Earbuds Case,12.99,8/10/2024,6:39 AM,24
24,Wireless Induction Charger,19.99,4/28/2024,2:31 AM,6
25,Frozen Burritos,8.99,12/8/2024,2:19 AM,28
26,Smart Home Hub,99.99,1/13/2025,3:01 PM,19
27,Pasta Primavera Kit,7.49,11/30/2024,6:13 PM,2
28,Bluetooth Tracker,19.99,10/28/2024,8:34 AM,30
29,Utility Cargo Pants,54.99,10/30/2024,12:47 AM,28
30,Belted Trench Coat,89.99,6/29/2024,5:02 PM,14
31,Peach Slices in Syrup,2.59,3/10/2024,11:49 AM,12
32,Elderberry Syrup Kit,22.99,4/30/2024,2:06 AM,15
33,Dog Waste Bag Dispenser,6.99,5/25/2024,8:41 PM,1
34,Laptop Sleeve,24.99,1/6/2024,1:27 PM,5
35,Sporty Leggings,39.99,3/21/2024,4:14 AM,1
36,Gardening Fairy Figurines,14.99,2/9/2024,7:42 AM,13
37,Stainless Steel Mixing Bowls,29.99,5/18/2024,3:25 AM,15
38,Automatic Pet Feeder,69.99,7/31/2024,1:15 PM,30
39,Organic Green Lentils,3.99,10/3/2024,9:41 AM,16
40,Brownie Bites,4.99,2/15/2024,9:05 AM,28
41,Pumpkin Spice Muffins,3.99,1/9/2024,10:15 PM,4
42,Portable Speaker Stand,39.99,7/1/2024,9:01 AM,6
43,Patterned Knit Scarf,25.99,1/17/2025,7:16 AM,10
44,Pet Grooming Glove,12.99,9/11/2024,9:23 PM,13
45,Deep Tissue Massage Gun,89.99,11/20/2024,10:14 PM,22
46,Cable Knit Beanie,19.99,1/28/2024,12:09 PM,2
47,Italian Breadsticks,2.49,11/21/2024,5:13 PM,12
48,Sunglasses Case,15.99,11/15/2024,12:22 PM,4
49,Fridge Magnet Set,15.99,5/20/2024,4:03 AM,17
50,Spinach and Feta Wraps,4.99,5/13/2024,12:23 AM,3
51,Silicone Ice Cube Tray,10.99,7/23/2024,5:02 AM,26
52,Organic Almonds,8.99,5/12/2024,1:50 PM,14
53,Pocket Blanket,24.99,5/26/2024,10:33 PM,8
54,Decorative LED Neon Sign,45.99,12/26/2024,12:00 PM,23
55,Peanut Butter Cookies,3.49,1/4/2025,6:25 PM,6
56,Canvas Tote Bag,19.99,10/5/2024,3:36 AM,21
57,Dark Chocolate Tart,6.29,2/21/2024,3:41 AM,11
58,Baby Monitor,79.99,1/26/2025,12:48 PM,26
59,Multi-Function Meat Tenderizer,19.99,11/15/2024,9:24 PM,7
60,Harvest Grain Salad,5.49,1/1/2024,3:23 PM,24
61,Organic Brown Sugar,2.49,12/23/2024,8:48 PM,7
62,Low-Fat Yogurt,3.29,12/28/2024,12:00 PM,11
63,Board Game Storage,19.99,6/8/2024,6:39 AM,22
64,Caramelized Onion Dip,3.99,6/23/2024,12:09 AM,27
65,Window Bird Feeder with Suction Cups,28.99,1/25/2024,12:30 AM,7
66,Wrist Support Brace,19.99,5/19/2024,6:11 AM,16
67,Pet Water Fountain,39.99,8/11/2024,11:17 PM,5
68,Organic Blueberries,5.49,9/25/2024,7:06 AM,11
69,Rechargeable Electric Toothbrush,49.99,1/20/2025,10:28 PM,29
70,Safety First Aid Kit,29.99,3/18/2024,1:57 AM,20
71,Electric Skillet,49.99,10/26/2024,12:34 AM,2
72,Portable UV Sterilizer,19.99,10/28/2024,4:57 AM,30
73,Men's Waterproof Hiking Boots,89.99,8/15/2024,7:57 AM,10
74,Beef Chili,4.5,7/7/2024,8:10 PM,10
75,Berry Smoothie Mix,4.99,1/22/2025,1:46 PM,6
76,Frozen Cauliflower Rice,2.99,9/12/2024,10:57 AM,10
77,Educational STEM Kit,35.99,1/19/2024,8:17 PM,26
78,Blue Denim Jeans,49.99,5/16/2024,9:35 AM,11
79,Multi-Purpose Scissors,8.99,9/17/2024,1:28 AM,11
80,Skincare Set,54.99,12/12/2024,1:28 AM,13
81,Motion Sensor Light,19.99,3/21/2024,8:26 PM,28
82,Spinach Feta Wraps,4.29,8/10/2024,7:24 PM,7
83,Ginger Turmeric Latte Mix,5.29,2/24/2024,9:47 AM,21
84,Whole Wheat Pasta,2.49,8/12/2024,1:28 AM,6
85,Pet Carrier Backpack,39.99,6/7/2024,11:41 PM,10
86,Compact Pop-Up Tent,69.99,5/18/2024,3:37 AM,16
87,Roasted Red Pepper Sauce,3.29,11/20/2024,6:02 AM,6
88,Smart Wi-Fi Light Bulbs,19.99,4/22/2024,6:32 PM,28
89,Digital Food Scale,22.99,4/29/2024,10:42 AM,16
90,Organic Coconut Flakes,3.49,11/12/2024,2:12 PM,1
91,Herb Garlic Butter,3.99,11/22/2024,9:28 PM,26
92,Buffalo Style Cauliflower Bites,5.49,3/28/2024,12:53 AM,14
93,Hibiscus Tea Bags,3.79,12/25/2024,8:55 AM,11
94,Green Smoothie Mix,5.99,4/2/2024,12:31 PM,1
95,Silicone Baking Mat,15.99,9/27/2024,2:19 AM,3
96,Fried Rice,4.29,4/21/2024,2:46 PM,4
97,Lentils,2.99,2/23/2024,6:31 PM,3
98,Foam Roller for Muscle Recovery,29.99,4/24/2024,2:07 AM,8
99,Telescope,159.99,1/19/2024,8:09 AM,15
100,Dog Waste Bag Dispenser,6.99,8/1/2024,12:17 AM,19
101,Puzzle Mat,22.99,4/26/2024,4:22 AM,4
102,Avocados,1.5,10/25/2024,12:41 PM,19
103,Cinnamon Roll Dough,4.49,1/16/2024,1:30 PM,12
104,Handmade Soap Making Kit,34.99,7/24/2024,8:08 AM,5
105,Spicy Vegetable Sushi Rolls,8.49,2/11/2024,2:35 PM,14
106,Mushroom Soup (canned),2.49,8/30/2024,4:20 PM,26
107,Honey Sesame Chicken Mix,8.99,1/24/2024,2:36 PM,5
108,Mediterranean Flatbread,3.5,1/30/2024,2:11 AM,8
109,Kale Caesar Salad Kit,5.99,3/11/2024,6:47 PM,9
110,Fitness Resistance Bands,29.99,11/11/2024,7:28 AM,23
111,Breezy Off-The-Shoulder Top,34.99,9/14/2024,5:00 PM,7
112,Cauliflower Rice Stir-Fry,4.99,5/7/2024,3:43 PM,24
113,Sliced Strawberries,4.99,3/30/2024,4:22 PM,24
114,Athletic Compression Tights,39.99,4/21/2024,9:22 PM,18
115,Yoga Mat,25,4/10/2024,1:10 PM,21
116,Cherry Almond Protein Bar,1.99,12/5/2024,12:20 AM,1
117,Frozen Mixed Vegetables,1.99,1/5/2024,1:13 AM,9
118,Travel Pillow with Memory Foam,29.99,1/28/2025,11:56 PM,19
119,Travel Shoe Bags Set,15.99,11/10/2024,1:39 PM,22
120,Wrap Front Midi Skirt,44.99,6/6/2024,10:18 PM,3
121,USB Wall Charger,19.99,2/15/2024,1:38 AM,19
122,Smart Scale,59.99,8/11/2024,12:11 AM,14
123,Comfy Slippers,29.99,9/18/2024,3:09 PM,29
124,Elderberry Syrup Kit,22.99,5/29/2024,4:42 AM,1
125,Glass Water Bottle,25.99,7/29/2024,9:32 AM,2
126,Recipe Book Stand,22.99,1/12/2025,9:07 PM,13
127,Organic Honeycrisp Apples,1.99,11/12/2024,5:57 PM,5
128,Almond Quinoa Salad,5.99,1/24/2024,3:44 PM,21
129,Multi-Port USB Hub,19.99,1/13/2024,3:36 AM,2
130,Dill Pickle Chips,2.29,8/24/2024,9:39 PM,28
131,Electric Meat Grinder,89.99,2/23/2024,8:35 PM,16
132,Mini Hand Gesture Drone,29.99,11/9/2024,8:47 PM,7
133,Ethical Wool Scarf,29.99,4/16/2024,12:49 PM,23
134,Glass Water Bottle,25.99,3/31/2024,6:25 PM,17
135,Magnetic Phone Case,19.99,2/18/2024,5:39 PM,12
136,Chopping Board,29.99,3/28/2024,5:16 PM,25
137,Gluten-Free Pancake Mix,5.99,3/13/2024,11:51 AM,14
138,Workstation Laptop Stand,49.99,5/17/2024,6:13 AM,7
139,Oven-Baked Cheese Crisps,3.99,9/24/2024,7:22 PM,11
140,Electric Can Opener,29.99,10/15/2024,3:19 AM,3
141,Organic Tomato Soup,3.79,5/15/2024,8:37 AM,22
142,Frozen Berry Medley,5.49,2/7/2024,1:14 AM,30
143,Pet Safety Harness,24.99,7/31/2024,10:56 PM,22
144,Smartphone Projector Kit,24.99,12/23/2024,1:59 PM,8
145,Folding Pocket Knife,24.99,11/4/2024,7:28 AM,14
146,Fleece Throw Blanket,29.99,6/3/2024,3:41 AM,30
147,Compressed Towel Tablets,12.99,1/22/2024,7:42 AM,4
148,Insulated Coffee Mug,24.99,8/10/2024,11:25 PM,20
149,Creative Puzzle Game,19.99,10/17/2024,4:22 PM,7
150,DIY Candle Kit,34.99,10/3/2024,9:37 PM,26
151,Nutty Granola Clusters,2.49,2/24/2024,11:17 AM,10
152,High-Speed Hand Blender,39.99,6/15/2024,11:40 AM,14
153,Chili Con Carne Mix,2.99,7/13/2024,6:53 AM,14
154,Under Desk Footrest,29.99,5/8/2024,7:30 AM,16
155,Portable Solar Charger,29.99,8/9/2024,3:58 PM,15
156,Fitbit Activity Tracker,99.99,12/29/2024,12:04 AM,20
157,Ethical Wool Scarf,29.99,5/4/2024,4:41 PM,20
